"strain" "block" "eggs" "worms" "males" "background" "rec"
"EEV1404" 6 33 35 0 "EEV1402" "mut"
"EEV1404" 6 31 31 0 "EEV1402" "mut"
"EEV1404" 6 38 32 0 "EEV1402" "mut"
"EEV1404" 6 36 34 0 "EEV1402" "mut"
"EEV1404" 7 NA 30 1 "EEV1402" "mut"
"EEV1403" 7 NA 50 0 "EEV1401" "mut"
"EEV1402" 7 NA 55 0 "EEV1402" "wt"
"EEV1403" 7 NA 20 0 "EEV1401" "mut"
"EEV1401" 7 NA 31 0 "EEV1401" "wt"
"EEV1402" 7 NA 41 0 "EEV1402" "wt"
"EEV1401" 7 NA 29 0 "EEV1401" "wt"
"EEV1404" 7 NA 43 1 "EEV1402" "mut"
"EEV1404" 7 NA 73 2 "EEV1402" "mut"
"EEV1403" 7 NA 30 0 "EEV1401" "mut"
"EEV1403" 7 NA 63 2 "EEV1401" "mut"
"EEV1402" 7 NA 60 0 "EEV1402" "wt"
"EEV1404" 7 NA 90 0 "EEV1402" "mut"
"EEV1403" 7 NA 41 0 "EEV1401" "mut"
"EEV1402" 7 NA 51 0 "EEV1402" "wt"
"EEV1401" 7 NA 51 1 "EEV1401" "wt"
"EEV1403" 7 NA 16 0 "EEV1401" "mut"
"EEV1402" 7 NA 61 0 "EEV1402" "wt"
"EEV1401" 7 NA 56 2 "EEV1401" "wt"
"EEV1402" 7 NA 59 0 "EEV1402" "wt"
"EEV1401" 7 NA 21 0 "EEV1401" "wt"
"EEV1402" 7 NA 52 0 "EEV1402" "wt"
"EEV1403" 7 NA 55 1 "EEV1401" "mut"
"EEV1401" 7 NA 42 0 "EEV1401" "wt"
"EEV1401" 7 NA 67 0 "EEV1401" "wt"
"EEV1402" 7 NA 23 1 "EEV1402" "wt"
"EEV1402" 7 NA 39 0 "EEV1402" "wt"
"EEV1401" 7 NA 2 0 "EEV1401" "wt"
"EEV1404" 7 NA 52 0 "EEV1402" "mut"
"EEV1402" 7 NA 52 0 "EEV1402" "wt"
"EEV1402" 7 NA 58 0 "EEV1402" "wt"
"EEV1403" 7 NA 0 0 "EEV1401" "mut"
"EEV1401" 7 NA 0 0 "EEV1401" "wt"
"EEV1401" 7 NA 32 0 "EEV1401" "wt"
"EEV1402" 7 NA 0 0 "EEV1402" "wt"
"EEV1403" 7 NA 43 0 "EEV1401" "mut"
"EEV1403" 7 NA 64 1 "EEV1401" "mut"
"EEV1403" 7 NA 46 1 "EEV1401" "mut"
"EEV1404" 7 NA 59 1 "EEV1402" "mut"
"EEV1401" 7 NA 62 0 "EEV1401" "wt"
"EEV1404" 7 NA 43 2 "EEV1402" "mut"
"EEV1404" 7 NA 60 0 "EEV1402" "mut"
"EEV1401" 7 NA 54 0 "EEV1401" "wt"
"EEV1402" 7 NA 46 2 "EEV1402" "wt"
"EEV1404" 7 NA 40 0 "EEV1402" "mut"
"EEV1402" 7 NA 45 0 "EEV1402" "wt"
"EEV1403" 7 NA 70 0 "EEV1401" "mut"
"EEV1401" 7 NA 79 0 "EEV1401" "wt"
"EEV1402" 7 NA 57 0 "EEV1402" "wt"
"EEV1402" 7 NA 45 0 "EEV1402" "wt"
"EEV1401" 7 NA 53 0 "EEV1401" "wt"
"EEV1401" 7 NA 60 0 "EEV1401" "wt"
"EEV1403" 7 NA 53 0 "EEV1401" "mut"
"EEV1401" 7 NA 0 0 "EEV1401" "wt"
"EEV1401" 7 NA 54 2 "EEV1401" "wt"
"EEV1403" 7 NA 82 0 "EEV1401" "mut"
"EEV1402" 7 NA 75 0 "EEV1402" "wt"
"EEV1404" 7 NA 46 0 "EEV1402" "mut"
"EEV1404" 7 NA 53 0 "EEV1402" "mut"
"EEV1402" 7 NA 53 0 "EEV1402" "wt"
"EEV1404" 7 NA 61 0 "EEV1402" "mut"
"EEV1404" 7 NA 69 0 "EEV1402" "mut"
"EEV1403" 7 NA 38 0 "EEV1401" "mut"
"EEV1404" 7 NA 47 0 "EEV1402" "mut"
"EEV1403" 7 NA 56 1 "EEV1401" "mut"
"EEV1401" 7 NA 75 0 "EEV1401" "wt"
"EEV1404" 7 NA 42 1 "EEV1402" "mut"
"EEV1404" 7 NA 51 1 "EEV1402" "mut"
"EEV1403" 7 NA 31 0 "EEV1401" "mut"
"EEV1403" 7 NA 0 0 "EEV1401" "mut"
"EEV1402" 7 NA 27 0 "EEV1402" "wt"
"EEV1401" 7 NA 40 1 "EEV1401" "wt"
"EEV1403" 7 NA 36 2 "EEV1401" "mut"
"EEV1404" 7 NA 64 1 "EEV1402" "mut"
"EEV1404" 7 NA 64 0 "EEV1402" "mut"
"EEV1403" 7 NA 41 1 "EEV1401" "mut"
"EEV1404" 7 NA 41 1 "EEV1402" "mut"
"EEV1401" 7 NA 49 0 "EEV1401" "wt"
"EEV1403" 7 NA 45 0 "EEV1401" "mut"
"EEV1404" 7 NA 26 0 "EEV1402" "mut"
"EEV1403" 7 NA 27 0 "EEV1401" "mut"
"EEV1402" 7 NA 50 0 "EEV1402" "wt"
"EEV1404" 7 NA 53 1 "EEV1402" "mut"
"EEV1404" 7 NA 49 0 "EEV1402" "mut"
"EEV1401" 7 NA 35 0 "EEV1401" "wt"
"EEV1403" 7 NA 57 0 "EEV1401" "mut"
"EEV1402" 7 NA 32 0 "EEV1402" "wt"
"EEV1404" 7 NA 27 0 "EEV1402" "mut"
"EEV1404" 7 NA 0 0 "EEV1402" "mut"
"EEV1402" 7 NA 43 0 "EEV1402" "wt"
"EEV1403" 7 NA 47 0 "EEV1401" "mut"
"EEV1401" 7 NA 54 0 "EEV1401" "wt"
"EEV1403" 7 NA 35 0 "EEV1401" "mut"
"EEV1402" 7 NA 60 0 "EEV1402" "wt"
"EEV1402" 7 NA 50 0 "EEV1402" "wt"
"EEV1404" 7 NA 20 0 "EEV1402" "mut"
"EEV1404" 7 NA 41 0 "EEV1402" "mut"
"EEV1401" 7 NA 0 0 "EEV1401" "wt"
"EEV1402" 7 NA 75 0 "EEV1402" "wt"
"EEV1403" 7 NA 48 1 "EEV1401" "mut"
"EEV1401" 7 NA 29 0 "EEV1401" "wt"
"EEV1403" 7 NA 47 0 "EEV1401" "mut"
"EEV1404" 7 NA 57 1 "EEV1402" "mut"
"EEV1402" 7 NA 39 0 "EEV1402" "wt"
"EEV1401" 7 NA 37 0 "EEV1401" "wt"
"EEV1401" 7 NA 4 0 "EEV1401" "wt"
"EEV1401" 7 NA 49 1 "EEV1401" "wt"
"EEV1402" 7 NA 70 0 "EEV1402" "wt"
"EEV1401" 8 NA 4 0 "EEV1401" "wt"
"EEV1402" 8 NA 53 0 "EEV1402" "wt"
"EEV1403" 8 NA 75 0 "EEV1401" "mut"
"EEV1404" 8 NA 200 0 "EEV1402" "mut"
"EEV1401" 8 NA 72 0 "EEV1401" "wt"
"EEV1402" 8 NA 110 0 "EEV1402" "wt"
"EEV1403" 8 NA 39 0 "EEV1401" "mut"
"EEV1404" 8 NA 4 0 "EEV1402" "mut"
"EEV1401" 8 NA 39 0 "EEV1401" "wt"
"EEV1402" 8 NA 69 0 "EEV1402" "wt"
"EEV1403" 8 NA 18 0 "EEV1401" "mut"
"EEV1404" 8 NA 98 0 "EEV1402" "mut"
"EEV1401" 8 NA 51 0 "EEV1401" "wt"
"EEV1402" 8 NA 175 0 "EEV1402" "wt"
"EEV1403" 8 NA 8 0 "EEV1401" "mut"
"EEV1404" 8 NA 95 0 "EEV1402" "mut"
"EEV1401" 8 NA 42 0 "EEV1401" "wt"
"EEV1402" 8 NA 95 0 "EEV1402" "wt"
"EEV1403" 8 NA 30 0 "EEV1401" "mut"
"EEV1404" 8 NA 125 2 "EEV1402" "mut"
"EEV1401" 8 NA 93 0 "EEV1401" "wt"
"EEV1402" 8 NA 115 0 "EEV1402" "wt"
"EEV1403" 8 NA 23 1 "EEV1401" "mut"
"EEV1404" 8 NA 71 0 "EEV1402" "mut"
"EEV1401" 8 NA 71 0 "EEV1401" "wt"
"EEV1402" 8 NA 92 1 "EEV1402" "wt"
"EEV1403" 8 NA 54 2 "EEV1401" "mut"
"EEV1404" 8 NA 92 0 "EEV1402" "mut"
"EEV1401" 8 NA 48 0 "EEV1401" "wt"
"EEV1402" 8 NA 100 0 "EEV1402" "wt"
"EEV1403" 8 NA 1 0 "EEV1401" "mut"
"EEV1404" 8 NA 68 0 "EEV1402" "mut"
"EEV1401" 8 NA 93 0 "EEV1401" "wt"
"EEV1402" 8 NA 108 0 "EEV1402" "wt"
"EEV1403" 8 NA 0 0 "EEV1401" "mut"
"EEV1404" 8 NA 58 1 "EEV1402" "mut"
"EEV1401" 8 NA 28 0 "EEV1401" "wt"
"EEV1402" 8 NA 54 1 "EEV1402" "wt"
"EEV1403" 8 NA 1 1 "EEV1401" "mut"
"EEV1404" 8 NA 100 0 "EEV1402" "mut"
"EEV1401" 8 NA 23 0 "EEV1401" "wt"
"EEV1402" 8 NA 86 0 "EEV1402" "wt"
"EEV1403" 8 NA 42 2 "EEV1401" "mut"
"EEV1404" 8 NA 124 0 "EEV1402" "mut"
"EEV1401" 8 NA 133 0 "EEV1401" "wt"
"EEV1402" 8 NA 87 0 "EEV1402" "wt"
"EEV1403" 8 NA 26 0 "EEV1401" "mut"
"EEV1404" 8 NA 65 0 "EEV1402" "mut"
"EEV1401" 8 NA 62 0 "EEV1401" "wt"
"EEV1402" 8 NA 7 0 "EEV1402" "wt"
"EEV1403" 8 NA 38 1 "EEV1401" "mut"
"EEV1404" 8 NA 80 0 "EEV1402" "mut"
"EEV1401" 8 NA 25 0 "EEV1401" "wt"
"EEV1402" 8 NA 64 0 "EEV1402" "wt"
"EEV1403" 8 NA 5 0 "EEV1401" "mut"
"EEV1404" 8 NA 75 0 "EEV1402" "mut"
"EEV1401" 8 NA 70 0 "EEV1401" "wt"
"EEV1402" 8 NA 13 0 "EEV1402" "wt"
"EEV1403" 8 NA 80 1 "EEV1401" "mut"
"EEV1404" 8 NA 72 1 "EEV1402" "mut"
"EEV1401" 8 NA 45 0 "EEV1401" "wt"
"EEV1402" 8 NA 29 0 "EEV1402" "wt"
"EEV1403" 8 NA 80 0 "EEV1401" "mut"
"EEV1404" 8 NA 84 0 "EEV1402" "mut"
"EEV1401" 8 NA 64 0 "EEV1401" "wt"
"EEV1402" 8 NA 53 0 "EEV1402" "wt"
"EEV1403" 8 NA 42 0 "EEV1401" "mut"
"EEV1404" 8 NA 57 0 "EEV1402" "mut"
"EEV1401" 8 NA 4 0 "EEV1401" "wt"
"EEV1402" 8 NA 72 0 "EEV1402" "wt"
"EEV1403" 8 NA 41 0 "EEV1401" "mut"
"EEV1404" 8 NA 90 0 "EEV1402" "mut"
"EEV1401" 8 NA 80 0 "EEV1401" "wt"
"EEV1402" 8 NA 82 0 "EEV1402" "wt"
"EEV1403" 8 NA 49 0 "EEV1401" "mut"
"EEV1404" 8 NA 68 0 "EEV1402" "mut"
"EEV1401" 8 NA 46 0 "EEV1401" "wt"
"EEV1402" 8 NA 55 0 "EEV1402" "wt"
"EEV1403" 8 NA 22 0 "EEV1401" "mut"
"EEV1404" 8 NA 70 0 "EEV1402" "mut"
"EEV1401" 8 NA 80 0 "EEV1401" "wt"
"EEV1402" 8 NA 82 0 "EEV1402" "wt"
"EEV1403" 8 NA 66 0 "EEV1401" "mut"
"EEV1404" 8 NA 90 0 "EEV1402" "mut"
"EEV1401" 8 NA 27 0 "EEV1401" "wt"
"EEV1402" 8 NA 80 0 "EEV1402" "wt"
"EEV1403" 8 NA 71 1 "EEV1401" "mut"
"EEV1404" 8 NA 86 0 "EEV1402" "mut"
"EEV1401" 8 NA 65 0 "EEV1401" "wt"
"EEV1402" 8 NA 70 0 "EEV1402" "wt"
"EEV1403" 8 NA 24 0 "EEV1401" "mut"
"EEV1404" 8 NA 79 0 "EEV1402" "mut"
"EEV1401" 8 NA 67 0 "EEV1401" "wt"
"EEV1402" 8 NA 40 0 "EEV1402" "wt"
"EEV1403" 8 NA 31 0 "EEV1401" "mut"
"EEV1404" 8 NA 56 0 "EEV1402" "mut"
"EEV1401" 8 NA 74 1 "EEV1401" "wt"
"EEV1402" 8 NA 64 0 "EEV1402" "wt"
"EEV1403" 8 NA 93 1 "EEV1401" "mut"
"EEV1404" 8 NA 70 0 "EEV1402" "mut"
"EEV1401" 8 NA 85 1 "EEV1401" "wt"
"EEV1402" 8 NA 0 NA "EEV1402" "wt"
"EEV1403" 8 NA 48 0 "EEV1401" "mut"
"EEV1404" 8 NA 77 0 "EEV1402" "mut"
"EEV1401" 8 NA 72 1 "EEV1401" "wt"
"EEV1402" 8 NA 53 0 "EEV1402" "wt"
"EEV1403" 8 NA 46 0 "EEV1401" "mut"
"EEV1404" 8 NA 56 0 "EEV1402" "mut"
"EEV1401" 8 NA 54 0 "EEV1401" "wt"
"EEV1402" 8 NA 42 0 "EEV1402" "wt"
"EEV1403" 8 NA 54 0 "EEV1401" "mut"
"EEV1404" 8 NA 84 0 "EEV1402" "mut"
"EEV1401" 8 NA 78 0 "EEV1401" "wt"
"EEV1402" 8 NA 74 0 "EEV1402" "wt"
"EEV1403" 8 NA 62 1 "EEV1401" "mut"
"EEV1404" 8 NA 73 0 "EEV1402" "mut"
"EEV1401" 8 NA 96 0 "EEV1401" "wt"
"EEV1402" 8 NA 81 0 "EEV1402" "wt"
"EEV1403" 8 NA 79 0 "EEV1401" "mut"
