"strain" "block" "egg" "worms" "males" "background" "rec"
"157" "EEV1402" 7 NA 55 0 "EEV1402" "wt"
"158" "EEV1403" 7 NA 20 0 "EEV1401" "mut"
"159" "EEV1401" 7 NA 31 0 "EEV1401" "wt"
"160" "EEV1402" 7 NA 41 0 "EEV1402" "wt"
"161" "EEV1401" 7 NA 29 0 "EEV1401" "wt"
"162" "EEV1404" 7 NA 43 1 "EEV1402" "mut"
"163" "EEV1404" 7 NA 73 2 "EEV1402" "mut"
"164" "EEV1403" 7 NA 30 0 "EEV1401" "mut"
"165" "EEV1403" 7 NA 63 2 "EEV1401" "mut"
"166" "EEV1402" 7 NA 60 0 "EEV1402" "wt"
"167" "EEV1404" 7 NA 90 0 "EEV1402" "mut"
"168" "EEV1403" 7 NA 41 0 "EEV1401" "mut"
"169" "EEV1402" 7 NA 51 0 "EEV1402" "wt"
"170" "EEV1401" 7 NA 51 1 "EEV1401" "wt"
"171" "EEV1403" 7 NA 16 0 "EEV1401" "mut"
"172" "EEV1402" 7 NA 61 0 "EEV1402" "wt"
"173" "EEV1401" 7 NA 56 2 "EEV1401" "wt"
"174" "EEV1402" 7 NA 59 0 "EEV1402" "wt"
"175" "EEV1401" 7 NA 21 0 "EEV1401" "wt"
"176" "EEV1402" 7 NA 52 0 "EEV1402" "wt"
"177" "EEV1403" 7 NA 55 1 "EEV1401" "mut"
"178" "EEV1401" 7 NA 42 0 "EEV1401" "wt"
"179" "EEV1401" 7 NA 67 0 "EEV1401" "wt"
"180" "EEV1402" 7 NA 23 1 "EEV1402" "wt"
"181" "EEV1402" 7 NA 39 0 "EEV1402" "wt"
"182" "EEV1401" 7 NA 2 0 "EEV1401" "wt"
"183" "EEV1404" 7 NA 52 0 "EEV1402" "mut"
"184" "EEV1402" 7 NA 52 0 "EEV1402" "wt"
"185" "EEV1402" 7 NA 58 0 "EEV1402" "wt"
"186" "EEV1403" 7 NA 0 0 "EEV1401" "mut"
"187" "EEV1401" 7 NA 0 0 "EEV1401" "wt"
"188" "EEV1401" 7 NA 32 0 "EEV1401" "wt"
"189" "EEV1402" 7 NA 0 0 "EEV1402" "wt"
"190" "EEV1403" 7 NA 43 0 "EEV1401" "mut"
"191" "EEV1403" 7 NA 64 1 "EEV1401" "mut"
"192" "EEV1403" 7 NA 46 1 "EEV1401" "mut"
"193" "EEV1404" 7 NA 59 1 "EEV1402" "mut"
"194" "EEV1401" 7 NA 62 0 "EEV1401" "wt"
"195" "EEV1404" 7 NA 43 2 "EEV1402" "mut"
"196" "EEV1404" 7 NA 60 0 "EEV1402" "mut"
"197" "EEV1401" 7 NA 54 0 "EEV1401" "wt"
"198" "EEV1402" 7 NA 46 2 "EEV1402" "wt"
"199" "EEV1404" 7 NA 40 0 "EEV1402" "mut"
"200" "EEV1402" 7 NA 45 0 "EEV1402" "wt"
"201" "EEV1403" 7 NA 70 0 "EEV1401" "mut"
"202" "EEV1401" 7 NA 79 0 "EEV1401" "wt"
"203" "EEV1402" 7 NA 57 0 "EEV1402" "wt"
"204" "EEV1402" 7 NA 45 0 "EEV1402" "wt"
"205" "EEV1401" 7 NA 53 0 "EEV1401" "wt"
"206" "EEV1401" 7 NA 60 0 "EEV1401" "wt"
"207" "EEV1403" 7 NA 53 0 "EEV1401" "mut"
"208" "EEV1401" 7 NA 0 0 "EEV1401" "wt"
"209" "EEV1401" 7 NA 54 2 "EEV1401" "wt"
"210" "EEV1403" 7 NA 82 0 "EEV1401" "mut"
"211" "EEV1402" 7 NA 75 0 "EEV1402" "wt"
"212" "EEV1404" 7 NA 46 0 "EEV1402" "mut"
"213" "EEV1404" 7 NA 53 0 "EEV1402" "mut"
"214" "EEV1402" 7 NA 53 0 "EEV1402" "wt"
"215" "EEV1404" 7 NA 61 0 "EEV1402" "mut"
"216" "EEV1404" 7 NA 69 0 "EEV1402" "mut"
"217" "EEV1403" 7 NA 38 0 "EEV1401" "mut"
"218" "EEV1404" 7 NA 47 0 "EEV1402" "mut"
"219" "EEV1403" 7 NA 56 1 "EEV1401" "mut"
"220" "EEV1401" 7 NA 75 0 "EEV1401" "wt"
"221" "EEV1404" 7 NA 42 1 "EEV1402" "mut"
"222" "EEV1404" 7 NA 51 1 "EEV1402" "mut"
"223" "EEV1403" 7 NA 31 0 "EEV1401" "mut"
"224" "EEV1403" 7 NA 0 0 "EEV1401" "mut"
"225" "EEV1402" 7 NA 27 0 "EEV1402" "wt"
"226" "EEV1401" 7 NA 40 1 "EEV1401" "wt"
"227" "EEV1403" 7 NA 36 2 "EEV1401" "mut"
"228" "EEV1404" 7 NA 64 1 "EEV1402" "mut"
"229" "EEV1404" 7 NA 64 0 "EEV1402" "mut"
"230" "EEV1403" 7 NA 41 1 "EEV1401" "mut"
"231" "EEV1404" 7 NA 41 1 "EEV1402" "mut"
"232" "EEV1401" 7 NA 49 0 "EEV1401" "wt"
"233" "EEV1403" 7 NA 45 0 "EEV1401" "mut"
"234" "EEV1404" 7 NA 26 0 "EEV1402" "mut"
"235" "EEV1403" 7 NA 27 0 "EEV1401" "mut"
"236" "EEV1402" 7 NA 50 0 "EEV1402" "wt"
"237" "EEV1404" 7 NA 53 1 "EEV1402" "mut"
"238" "EEV1404" 7 NA 49 0 "EEV1402" "mut"
"239" "EEV1401" 7 NA 35 0 "EEV1401" "wt"
"240" "EEV1403" 7 NA 57 0 "EEV1401" "mut"
"241" "EEV1402" 7 NA 32 0 "EEV1402" "wt"
"242" "EEV1404" 7 NA 27 0 "EEV1402" "mut"
"243" "EEV1404" 7 NA 0 0 "EEV1402" "mut"
"244" "EEV1402" 7 NA 43 0 "EEV1402" "wt"
"245" "EEV1403" 7 NA 47 0 "EEV1401" "mut"
"246" "EEV1401" 7 NA 54 0 "EEV1401" "wt"
"247" "EEV1403" 7 NA 35 0 "EEV1401" "mut"
"248" "EEV1402" 7 NA 60 0 "EEV1402" "wt"
"249" "EEV1402" 7 NA 50 0 "EEV1402" "wt"
"250" "EEV1404" 7 NA 20 0 "EEV1402" "mut"
"251" "EEV1404" 7 NA 41 0 "EEV1402" "mut"
"252" "EEV1401" 7 NA 0 0 "EEV1401" "wt"
"253" "EEV1402" 7 NA 75 0 "EEV1402" "wt"
"254" "EEV1403" 7 NA 48 1 "EEV1401" "mut"
"255" "EEV1401" 7 NA 29 0 "EEV1401" "wt"
"256" "EEV1403" 7 NA 47 0 "EEV1401" "mut"
"257" "EEV1404" 7 NA 57 1 "EEV1402" "mut"
"258" "EEV1402" 7 NA 39 0 "EEV1402" "wt"
"259" "EEV1401" 7 NA 37 0 "EEV1401" "wt"
"260" "EEV1401" 7 NA 4 0 "EEV1401" "wt"
"261" "EEV1401" 7 NA 49 1 "EEV1401" "wt"
"262" "EEV1402" 7 NA 70 0 "EEV1402" "wt"
"263" "EEV1401" 8 NA 4 0 "EEV1401" "wt"
"264" "EEV1402" 8 NA 53 0 "EEV1402" "wt"
"265" "EEV1403" 8 NA 75 0 "EEV1401" "mut"
"266" "EEV1404" 8 NA 200 0 "EEV1402" "mut"
"267" "EEV1401" 8 NA 72 0 "EEV1401" "wt"
"268" "EEV1402" 8 NA 110 0 "EEV1402" "wt"
"269" "EEV1403" 8 NA 39 0 "EEV1401" "mut"
"270" "EEV1404" 8 NA 4 0 "EEV1402" "mut"
"271" "EEV1401" 8 NA 39 0 "EEV1401" "wt"
"272" "EEV1402" 8 NA 69 0 "EEV1402" "wt"
"273" "EEV1403" 8 NA 18 0 "EEV1401" "mut"
"274" "EEV1404" 8 NA 98 0 "EEV1402" "mut"
"275" "EEV1401" 8 NA 51 0 "EEV1401" "wt"
"276" "EEV1402" 8 NA 175 0 "EEV1402" "wt"
"277" "EEV1403" 8 NA 8 0 "EEV1401" "mut"
"278" "EEV1404" 8 NA 95 0 "EEV1402" "mut"
"279" "EEV1401" 8 NA 42 0 "EEV1401" "wt"
"280" "EEV1402" 8 NA 95 0 "EEV1402" "wt"
"281" "EEV1403" 8 NA 30 0 "EEV1401" "mut"
"282" "EEV1404" 8 NA 125 2 "EEV1402" "mut"
"283" "EEV1401" 8 NA 93 0 "EEV1401" "wt"
"284" "EEV1402" 8 NA 115 0 "EEV1402" "wt"
"285" "EEV1403" 8 NA 23 1 "EEV1401" "mut"
"286" "EEV1404" 8 NA 71 0 "EEV1402" "mut"
"287" "EEV1401" 8 NA 71 0 "EEV1401" "wt"
"288" "EEV1402" 8 NA 92 1 "EEV1402" "wt"
"289" "EEV1403" 8 NA 54 2 "EEV1401" "mut"
"290" "EEV1404" 8 NA 92 0 "EEV1402" "mut"
"291" "EEV1401" 8 NA 48 0 "EEV1401" "wt"
"292" "EEV1402" 8 NA 100 0 "EEV1402" "wt"
"293" "EEV1403" 8 NA 1 0 "EEV1401" "mut"
"294" "EEV1404" 8 NA 68 0 "EEV1402" "mut"
"295" "EEV1401" 8 NA 93 0 "EEV1401" "wt"
"296" "EEV1402" 8 NA 108 0 "EEV1402" "wt"
"297" "EEV1403" 8 NA 0 0 "EEV1401" "mut"
"298" "EEV1404" 8 NA 58 1 "EEV1402" "mut"
"299" "EEV1401" 8 NA 28 0 "EEV1401" "wt"
"300" "EEV1402" 8 NA 54 1 "EEV1402" "wt"
"301" "EEV1403" 8 NA 1 1 "EEV1401" "mut"
"302" "EEV1404" 8 NA 100 0 "EEV1402" "mut"
"303" "EEV1401" 8 NA 23 0 "EEV1401" "wt"
"304" "EEV1402" 8 NA 86 0 "EEV1402" "wt"
"305" "EEV1403" 8 NA 42 2 "EEV1401" "mut"
"306" "EEV1404" 8 NA 124 0 "EEV1402" "mut"
"307" "EEV1401" 8 NA 133 0 "EEV1401" "wt"
"308" "EEV1402" 8 NA 87 0 "EEV1402" "wt"
"309" "EEV1403" 8 NA 26 0 "EEV1401" "mut"
"310" "EEV1404" 8 NA 65 0 "EEV1402" "mut"
"311" "EEV1401" 8 NA 62 0 "EEV1401" "wt"
"312" "EEV1402" 8 NA 7 0 "EEV1402" "wt"
"313" "EEV1403" 8 NA 38 1 "EEV1401" "mut"
"314" "EEV1404" 8 NA 80 0 "EEV1402" "mut"
"315" "EEV1401" 8 NA 25 0 "EEV1401" "wt"
"316" "EEV1402" 8 NA 64 0 "EEV1402" "wt"
"317" "EEV1403" 8 NA 5 0 "EEV1401" "mut"
"318" "EEV1404" 8 NA 75 0 "EEV1402" "mut"
"319" "EEV1401" 8 NA 70 0 "EEV1401" "wt"
"320" "EEV1402" 8 NA 13 0 "EEV1402" "wt"
"321" "EEV1403" 8 NA 80 1 "EEV1401" "mut"
"322" "EEV1404" 8 NA 72 1 "EEV1402" "mut"
"323" "EEV1401" 8 NA 45 0 "EEV1401" "wt"
"324" "EEV1402" 8 NA 29 0 "EEV1402" "wt"
"325" "EEV1403" 8 NA 80 0 "EEV1401" "mut"
"326" "EEV1404" 8 NA 84 0 "EEV1402" "mut"
"327" "EEV1401" 8 NA 64 0 "EEV1401" "wt"
"328" "EEV1402" 8 NA 53 0 "EEV1402" "wt"
"329" "EEV1403" 8 NA 42 0 "EEV1401" "mut"
"330" "EEV1404" 8 NA 57 0 "EEV1402" "mut"
"331" "EEV1401" 8 NA 4 0 "EEV1401" "wt"
"332" "EEV1402" 8 NA 72 0 "EEV1402" "wt"
"333" "EEV1403" 8 NA 41 0 "EEV1401" "mut"
"334" "EEV1404" 8 NA 90 0 "EEV1402" "mut"
"335" "EEV1401" 8 NA 80 0 "EEV1401" "wt"
"336" "EEV1402" 8 NA 82 0 "EEV1402" "wt"
"337" "EEV1403" 8 NA 49 0 "EEV1401" "mut"
"338" "EEV1404" 8 NA 68 0 "EEV1402" "mut"
"339" "EEV1401" 8 NA 46 0 "EEV1401" "wt"
"340" "EEV1402" 8 NA 55 0 "EEV1402" "wt"
"341" "EEV1403" 8 NA 22 0 "EEV1401" "mut"
"342" "EEV1404" 8 NA 70 0 "EEV1402" "mut"
"343" "EEV1401" 8 NA 80 0 "EEV1401" "wt"
"344" "EEV1402" 8 NA 82 0 "EEV1402" "wt"
"345" "EEV1403" 8 NA 66 0 "EEV1401" "mut"
"346" "EEV1404" 8 NA 90 0 "EEV1402" "mut"
"347" "EEV1401" 8 NA 27 0 "EEV1401" "wt"
"348" "EEV1402" 8 NA 80 0 "EEV1402" "wt"
"349" "EEV1403" 8 NA 71 1 "EEV1401" "mut"
"350" "EEV1404" 8 NA 86 0 "EEV1402" "mut"
"351" "EEV1401" 8 NA 65 0 "EEV1401" "wt"
"352" "EEV1402" 8 NA 70 0 "EEV1402" "wt"
"353" "EEV1403" 8 NA 24 0 "EEV1401" "mut"
"354" "EEV1404" 8 NA 79 0 "EEV1402" "mut"
"355" "EEV1401" 8 NA 67 0 "EEV1401" "wt"
"356" "EEV1402" 8 NA 40 0 "EEV1402" "wt"
"357" "EEV1403" 8 NA 31 0 "EEV1401" "mut"
"358" "EEV1404" 8 NA 56 0 "EEV1402" "mut"
"359" "EEV1401" 8 NA 74 1 "EEV1401" "wt"
"360" "EEV1402" 8 NA 64 0 "EEV1402" "wt"
"361" "EEV1403" 8 NA 93 1 "EEV1401" "mut"
"362" "EEV1404" 8 NA 70 0 "EEV1402" "mut"
"363" "EEV1401" 8 NA 85 1 "EEV1401" "wt"
"364" "EEV1402" 8 NA 0 NA "EEV1402" "wt"
"365" "EEV1403" 8 NA 48 0 "EEV1401" "mut"
"366" "EEV1404" 8 NA 77 0 "EEV1402" "mut"
"367" "EEV1401" 8 NA 72 1 "EEV1401" "wt"
"368" "EEV1402" 8 NA 53 0 "EEV1402" "wt"
"369" "EEV1403" 8 NA 46 0 "EEV1401" "mut"
"370" "EEV1404" 8 NA 56 0 "EEV1402" "mut"
"371" "EEV1401" 8 NA 54 0 "EEV1401" "wt"
"372" "EEV1402" 8 NA 42 0 "EEV1402" "wt"
"373" "EEV1403" 8 NA 54 0 "EEV1401" "mut"
"374" "EEV1404" 8 NA 84 0 "EEV1402" "mut"
"375" "EEV1401" 8 NA 78 0 "EEV1401" "wt"
"376" "EEV1402" 8 NA 74 0 "EEV1402" "wt"
"377" "EEV1403" 8 NA 62 1 "EEV1401" "mut"
"378" "EEV1404" 8 NA 73 0 "EEV1402" "mut"
"379" "EEV1401" 8 NA 96 0 "EEV1401" "wt"
"380" "EEV1402" 8 NA 81 0 "EEV1402" "wt"
"381" "EEV1403" 8 NA 79 0 "EEV1401" "mut"
"382" "EEV1404" 8 NA 116 1 "EEV1402" "mut"
"383" "EEV1401" 8 NA 115 0 "EEV1401" "wt"
"384" "EEV1402" 8 NA 37 0 "EEV1402" "wt"
"385" "EEV1403" 8 NA 96 0 "EEV1401" "mut"
"386" "EEV1404" 8 NA 72 0 "EEV1402" "mut"
